400	412.3
412.3	422.8
422.8	432.8
432.8	440.3
440.3	448.9
448.9	458.3
458.3	465.3
465.3	472.8
472.8	477.4
477.4	483.3
483.3	488.8
488.8	495.3
495.3	501.3
501.3	510.3
510.3	514.8
514.8	521
521	527.6
527.6	534.4
534.4	540.3
540.3	547.3
547.3	554.4
554.4	561.4
561.4	567.3
567.3	575.3
575.3	584.4
584.4	590.9
590.9	596.4
596.4	604.9
604.9	612
612	619.9
619.9	628.9
628.9	636.4
636.4	645.4
645.4	655.4
655.4	663.9
663.9	672.9
672.9	686.4
686.4	701.1
701.1	711
711	729.4
729.4	747.4
747.4	765.9
765.9	786
786	812.5
812.5	837.5
837.5	880.3
880.3	969.5
969.5	1200
