400	417.5
416.5	433.5
432.5	446.5
445.5	458.5
457.5	469.5
468.5	479.5
478.5	489.5
488.5	497.5
496.5	506.5
505.5	514.5
513.5	522.5
521.5	529.5
528.5	537.5
536.5	544.5
543.5	550.5
549.5	557.5
556.5	563.5
562.5	569.5
568.5	576.5
575.5	582.5
581.5	589.5
588.5	595.5
594.5	603.5
602.5	610.5
609.5	617.5
616.5	624.5
623.5	631.5
630.5	638.5
637.5	645.5
644.5	652.5
651.5	659.5
658.5	666.5
665.5	674.5
673.5	680.5
679.5	687.5
686.5	694.5
693.5	702.5
701.5	710.5
709.5	718.5
717.5	726.5
725.5	734.5
733.5	742.5
741.5	751.5
750.5	759.5
758.5	768.5
767.5	776.5
775.5	785.5
784.5	794.5
793.5	804.5
803.5	814.5
813.5	824.5
823.5	834.5
833.5	845.5
844.5	857.5
856.5	869.5
868.5	883.5
882.5	898.5
897.5	913.5
912.5	931.5
930.5	951.5
950.5	971.5
970.5	994.5
993.5	1023.5
1022.5	1054.5
1053.5	1094.5
1093.5	1200
